,address,name_x,distance_sch,name_y,distance_hawker,name_x,distance_cbd,name_y,distance_mrt
122,759 WOODLANDS AVE 6,EVERGREEN PRIMARY SCHOOL,0.2882214020840713 km,730021,2.068822316567721 km,city hall mrt,18.13053453663339 km,ADMIRALTY MRT STATION,0.8915618086662679 km
123,683A JURONG WEST CTRL 1,BOON LAY SECONDARY SCHOOL,0.3292455057281869 km,642221,0.9792048405720213 km,city hall mrt,17.334924694126773 km,BOON LAY MRT STATION,0.4642391922689652 km
124,709 WOODLANDS DR 70,ADMIRALTY PRIMARY SCHOOL,0.35375132429424766 km,730021,2.340009054188207 km,city hall mrt,17.386582324838415 km,ADMIRALTY MRT STATION,0.34328603975734584 km
125,284 TOH GUAN RD,CREST SECONDARY SCHOOL,0.5671578763992406 km,600254,1.0430726858382549 km,city hall mrt,12.90750866050296 km,JURONG EAST MRT STATION,0.824955101028063 km
126,708 CHOA CHU KANG ST 53,KRANJI PRIMARY SCHOOL,0.2180737253583008 km,600347,5.383891029087803 km,city hall mrt,16.04817238863553 km,YEW TEE MRT STATION,0.6536299128601815 km
127,507 SERANGOON NTH AVE 4,ROSYTH SCHOOL,0.10736314195404663 km,557269,1.2944851103328912 km,city hall mrt,9.094991851808205 km,KOVAN MRT STATION,1.6974993767121955 km
128,358 CLEMENTI AVE 2,PEI TONG PRIMARY SCHOOL,0.3327465183804938 km,120353,0.2104142796616323 km,city hall mrt,9.569315479708091 km,CLEMENTI MRT STATION,0.4457697420179387 km
129,714 PASIR RIS ST 72,PARK VIEW PRIMARY SCHOOL,0.6228369579165467 km,521137,4.19602783813485 km,city hall mrt,13.704894845303889 km,PASIR RIS MRT STATION,1.682497317140339 km
130,335 UBI AVE 1,MANJUSRI SECONDARY SCHOOL,0.20057017636609842 km,402004,0.6510973648163048 km,city hall mrt,6.6832881124802785 km,UBI MRT STATION,0.5894407130048361 km
131,357 YUNG AN RD,LAKESIDE PRIMARY SCHOOL,0.36970616842981413 km,618499,0.24380426457829862 km,city hall mrt,15.415083895087562 km,LAKESIDE MRT STATION,0.8217448549281441 km
132,277D COMPASSVALE LINK,NORTH VISTA PRIMARY SCHOOL,0.25324315696626015 km,530209,2.663062844577032 km,city hall mrt,10.85236369483551 km,BUANGKOK MRT STATION,0.14617198527978653 km
